DEPTH,GR
1190.4,76.52
1190.55,78.3
1190.7001,79.8099
1190.8501,82.5005
1191,86.2646
1191.15,88.0192
1191.3,83.8048
1191.4501,79.8541
1191.6001,79.8059
1191.75,78.2976
1191.9,72.1279
1192.05,72.4296
1192.2001,73.5002
1192.3501,74.9715
1192.5,75.1776
1192.65,76.9433
1192.8,78.4656
1192.9501,76.4476
1193.1001,73.7023
1193.25,72.2095
1193.4,72.4238
1193.55,74.7687
1193.7001,77.8478
1193.8501,76.9406
1194,76.5309
1194.15,77.5926
1194.3,76.6049
1194.4501,75.7628
1194.6001,74.174
1194.75,72.9702
1194.9,72.9559
1195.05,71.0854
1195.2001,71.3516
1195.3501,73.8749
1195.5,74.8726
1195.65,76.1666
1195.8,76.9403
1195.9501,75.6803
1196.1001,75.5822
1196.25,75.1764
1196.4,71.9146
1196.55,71.2898
1196.7001,70.1727
1196.8501,71.5647
1197,73.4349
1197.15,73.3237
1197.3,72.8025
1197.4501,74.3897
1197.6001,71.2975
1197.75,68.9167
1197.9,70.8388
1198.05,71.7676
1198.2001,69.4349
1198.3501,67.461
1198.5,70.5791
1198.65,66.7336
1198.8,68.9194
1198.9501,71.4844
1199.1001,76.5282
1199.25,79.6929
1199.4,75.9226
1199.55,77.7036
1199.7001,77.0576
1199.8501,75.9926
1200,77.7
1200.15,77.621
1200.3,76.6274
1200.4501,71.5305
1200.6001,72.1101
1200.75,70.036
1200.9,74.1393
1201.05,71.6228
1201.2001,71.4373
1201.3501,72.054
1201.5,73.4119
1201.65,73.1357
1201.8,70.4507
1201.9501,70.3244
1202.1001,69.9328
1202.25,64.9036
1202.4,64.0549
1202.55,66.1782
1202.7001,69.9376
1202.8501,71.9076
1203,70.3774
1203.15,66.4579
1203.3,67.0892
1203.4501,66.8696
1203.6001,67.7266
1203.75,70.8858
1203.9,71.4804
1204.05,68.7302
1204.2001,66.7792
1204.3501,67.2602
1204.5,69.2177
1204.65,71.6063
1204.8,71.7032
1204.9501,71.6661
1205.1001,73.335
1205.25,74.3077
1205.4,73.1852
1205.55,71.5223
1205.7001,73.423
